 # t(s)  r(m)  phi(rad)  dr/dt(m/s)  dphi/dt(rad/s)
   5.4000000804662704        237640245538480.06        5.1057206124460706E-003   1147193149.5974212        9.4548737127938274E-004
   5.5000000819563866        237640361319984.41        5.2002693050583765E-003   1168436897.9044826        9.4548644997188326E-004
   5.6000000834465027        237640479225862.06        5.2948179046947864E-003   1189680614.8760068        9.4548551176150419E-004
   5.7000000849366188        237640599256109.88        5.3893664096650177E-003   1210924299.9423358        9.4548455664834625E-004
   5.8000000864267349        237640721410724.59        5.4839148182787966E-003   1232167952.5338161        9.4548358463251189E-004
   5.9000000879168510        237640845689702.97        5.5784631288458616E-003   1253411572.0807984        9.4548259571410531E-004
   6.0000000894069672        237640972093041.62        5.6730113396759596E-003   1274655158.0136380        9.4548158989323265E-004
   6.1000000908970833        237641100620737.22        5.7675594490788507E-003   1295898709.7626946        9.4548056717000178E-004
   6.2000000923871994        237641231272786.28        5.8621074553643036E-003   1317142226.7583323        9.4547952754452233E-004
   6.3000000938773155        237641364049185.31        5.9566553568420992E-003   1338385708.4309201        9.4547847101690596E-004
   6.4000000953674316        237641498949930.75        6.0512031518220296E-003   1359629154.2108316        9.4547739758726586E-004
   6.5000000968575478        237641635975019.00        6.1457508386138981E-003   1380872563.5284455        9.4547630725571729E-004
   6.6000000983476639        237641775124446.34        6.2402984155275195E-003   1402115935.8141448        9.4547520002237712E-004
   6.7000000998377800        237641916398209.09        6.3348458808727207E-003   1423359270.4983180        9.4547407588736418E-004
   6.8000001013278961        237642059796303.44        6.4293932329593396E-003   1444602567.0113585        9.4547293485079903E-004
   6.9000001028180122        237642205318725.53        6.5239404700972283E-003   1465845824.7836647        9.4547177691280408E-004
   7.0000001043081284        237642352965471.47        6.6184875905962491E-003   1487089043.2456403        9.4547060207350359E-004
   7.1000001057982445        237642502736537.28        6.7130345927662784E-003   1508332221.8276944        9.4546941033302352E-004
   7.2000001072883606        237642654631918.97        6.8075814749172037E-003   1529575359.9602411        9.4546820169149172E-004
   7.3000001087784767        237642808651612.47        6.9021282353589272E-003   1550818457.0737002        9.4546697614903774E-004
   7.4000001102685928        237642964795613.62        6.9966748724013626E-003   1572061512.5984969        9.4546573370579310E-004
   7.5000001117587090        237643123063918.25        7.0912213843544380E-003   1593304525.9650621        9.4546447436189116E-004
   7.6000001132488251        237643283456522.12        7.1857677695280940E-003   1614547496.6038322        9.4546319811746689E-004
   7.7000001147389412        237643445973420.94        7.2803140262322850E-003   1635790423.9452493        9.4546190497265723E-004
   7.8000001162290573        237643610614610.31        7.3748601527769799E-003   1657033307.4197614        9.4546059492760085E-004
   7.9000001177191734        237643777380085.88        7.4694061474721608E-003   1678276146.4578226        9.4545926798243827E-004
   8.0000001192092896        237643946269843.12        7.5639520086278238E-003   1699518940.4898925        9.4545792413731184E-004
   8.1000001206994057        237644117283877.53        7.6584977345539804E-003   1720761688.9464369        9.4545656339236565E-004
   8.2000001221895218        237644290422184.50        7.7530433235606551E-003   1742004391.2579279        9.4545518574774574E-004
   8.3000001236796379        237644465684759.41        7.8475887739578882E-003   1763247046.8548436        9.4545379120359989E-004
   8.4000001251697540        237644643071597.56        7.9421340840557346E-003   1784489655.1676686        9.4545237976007761E-004
   8.5000001266598701        237644822582694.19        8.0366792521642631E-003   1805732215.6268933        9.4545095141733025E-004
   8.6000001281499863        237645004218044.47        8.1312242765935600E-003   1826974727.6630151        9.4544950617551113E-004
   8.7000001296401024        237645187977643.53        8.2257691556537268E-003   1848217190.7065377        9.4544804403477517E-004
   8.8000001311302185        237645373861486.47        8.3203138876548777E-003   1869459604.1879711        9.4544656499527925E-004
   8.9000001326203346        237645561869568.28        8.4148584709071456E-003   1890701967.5378325        9.4544506905718201E-004
   9.0000001341104507        237645752001883.94        8.5094029037206791E-003   1911944280.1866453        9.4544355622064389E-004
   9.1000001356005669        237645944258428.31        8.6039471844056407E-003   1933186541.5649397        9.4544202648582710E-004
   9.2000001370906830        237646138639196.28        8.6984913112722103E-003   1954428751.1032534        9.4544047985289578E-004
   9.3000001385807991        237646335144182.62        8.7930352826305867E-003   1975670908.2321303        9.4543891632201571E-004
   9.4000001400709152        237646533773382.06        8.8875790967909828E-003   1996913012.3821218        9.4543733589335472E-004
   9.5000001415610313        237646734526789.28        8.9821227520636270E-003   2018155062.9837863        9.4543573856708228E-004
   9.6000001430511475        237646937404398.88        9.0766662467587685E-003   2039397059.4676893        9.4543412434336968E-004
   9.7000001445412636        237647142406205.44        9.1712095791866722E-003   2060639001.2644033        9.4543249322238997E-004
   9.8000001460313797        237647349532203.44        9.2657527476576185E-003   2081880887.8045089        9.4543084520431824E-004
   9.9000001475214958        237647558782387.34        9.3602957504819086E-003   2103122718.5185933        9.4542918028933112E-004
